       JobID    JobName  Partition    Account  AllocCPUS      State ExitCode 
18792426.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792427     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792427.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792428     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792428.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792429     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792429.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792430     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792430.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792431     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792431.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792432     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792432.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792433     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792433.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792434     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792434.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792435     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792435.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792436     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792436.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792437     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792437.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792438     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792438.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792439     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792439.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792440     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792440.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792441     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792441.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792442     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792442.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792443     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792443.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792444     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792444.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792445     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792445.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792446     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792446.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792447     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792447.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792448     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792448.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792449     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792449.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792450     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792450.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792451     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792451.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792452     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792452.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792453     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792453.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792454     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792454.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792455     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792455.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792456     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792456.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792457     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792457.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792458     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792458.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792459     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792459.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792460     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792460.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792461     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792461.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792462     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792462.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792463     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792463.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792464     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792464.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792465     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792465.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792466     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792466.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792467     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792467.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792468     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792468.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792469     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792469.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792470     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792470.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792471     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792471.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792472     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792472.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792473     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792473.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792474     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792474.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792475     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792475.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792476     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792476.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792477     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792477.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792478     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792478.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792479     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792479.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792480     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792480.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792481     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792481.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792482     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792482.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792483     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792483.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792484     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792484.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792485     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
18792485.ex+     extern            rc_bhamid+          1    RUNNING      0:0 
18792486     0.1_0.2_2+    general rc_bhamid+          1    RUNNING      0:0 
